Name,Team,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,WAR,NameASCII,PlayerId,MLBAMID
Ceddanne Rafaela,BOS,0.026269702,0.264448336,0.143382353,0.312335958,0.246323529,0.274165202,0.389705882,0.286040169882103,0.862015108708657,Ceddanne Rafaela,24262,678882
Brendan Rodgers,COL,0.057513914,0.244897959,0.139720559,0.337988826,0.267465069,0.314126394,0.407185628,0.313601777873226,0.77455977106874,Brendan Rodgers,17907,663898
Orlando Arcia,ATL,0.068106312,0.212624584,0.136116153,0.249394673,0.217785843,0.271214642,0.353901996,0.272684758404891,0.772537837496997,Orlando Arcia,13185,606115
Nolan Schanuel,LAA,0.112026359,0.169686985,0.111753372,0.285365853,0.250481695,0.343283582,0.362235067,0.315472118988954,0.666081475930515,Nolan Schanuel,33189,694384
Alec Burleson,STL,0.058823529,0.127731092,0.151736745,0.276315789,0.268738574,0.314189189,0.420475319,0.318568301261277,0.611283365806634,Alec Burleson,27615,676475
Alex Verdugo,NYY,0.078904991,0.149758454,0.123434705,0.252699784,0.232558139,0.290791599,0.355992844,0.283420814450993,0.604505242257205,Alex Verdugo,17027,657077
Andrew McCutchen,PIT,0.112621359,0.258252427,0.178571428,0.282828282,0.232142857,0.328155339,0.410714285,0.324504186555105,0.487893275116355,Andrew McCutchen,9847,457705
Nick Castellanos,PHI,0.062215477,0.210925644,0.176567657,0.293721973,0.254125412,0.311077389,0.430693069,0.32075803446806,0.357353701627737,Nick Castellanos,11737,592206
Rhys Hoskins,MIL,0.102514506,0.28820116,0.204899777,0.25,0.213808463,0.302912621,0.41870824,0.313432054181043,0.144846218801934,Rhys Hoskins,16472,656555
Josh Bell,- - -,0.084577114,0.199004975,0.156133829,0.286069651,0.249070631,0.319397993,0.40520446,0.316761038810564,-0.137138369422966,Josh Bell,13145,605137
Andrew Vaughn,CHW,0.061389337,0.213247172,0.15614035,0.285377358,0.245614035,0.297253634,0.401754385,0.303760882918399,-0.15722730683961,Andrew Vaughn,26197,683734
Adolis García,TEX,0.070643642,0.277864992,0.175862069,0.2734375,0.224137931,0.284144427,0.4,0.295807136606982,-0.195913188812288,Adolis Garcia,19287,666969
Andrew Benintendi,CHW,0.078544061,0.183908045,0.167714885,0.244505494,0.22851153,0.28927203,0.396226415,0.297897513676971,-0.336661929588225,Andrew Benintendi,17901,643217
Ty France,- - -,0.071028037,0.213084112,0.131524008,0.277310924,0.233820459,0.304672897,0.365344467,0.29612975432494,-0.890534215677096,Ty France,17982,664034
Christopher Morel,- - -,0.099836333,0.260229132,0.14953271,0.233333333,0.196261682,0.288052373,0.345794392,0.280430454368654,-0.97141721904005,Christopher Morel,21897,666624
Bryan De La Cruz,- - -,0.046623794,0.273311897,0.150684931,0.288944723,0.232876712,0.2705314,0.383561643,0.282601914002049,-1.23366525610841,Bryan De La Cruz,19600,650559
